calendar week,year of death,week of death,age group 00 - 09,age group 10 - 19,age group 20 - 29,age group 30 - 39,age group 40 - 49,age group 50 - 59,age group 60 - 69,age group 70 - 79,age group 80 - 89,age group 90+,sum of cases,age group 00 - 09 (%),age group 10 - 19 (%),age group 20 - 29 (%),age group 30 - 39 (%),age group 40 - 49 (%),age group 50 - 59 (%),age group 60 - 69 (%),age group 70 - 79 (%),age group 80 - 89 (%),age group 90+ (%)
2020 - 20,2020,20,0,0,0,2,4,22,53,81,133,60,355,0.0,0.0,0.0,0.5633802816901409,1.1267605633802817,6.197183098591549,14.929577464788732,22.816901408450704,37.46478873239437,16.901408450704224
2020 - 21,2020,21,0,0,2,0,5,9,25,62,120,53,276,0.0,0.0,0.7246376811594203,0.0,1.8115942028985508,3.260869565217391,9.057971014492754,22.463768115942027,43.47826086956522,19.202898550724637
2020 - 22,2020,22,0,0,0,2,2,8,20,38,61,20,151,0.0,0.0,0.0,1.3245033112582782,1.3245033112582782,5.298013245033113,13.245033112582782,25.165562913907287,40.397350993377486,13.245033112582782
2020 - 23,2020,23,0,0,0,2,2,7,13,17,55,21,117,0.0,0.0,0.0,1.7094017094017095,1.7094017094017095,5.982905982905983,11.11111111111111,14.529914529914532,47.008547008547005,17.94871794871795
2020 - 24,2020,24,0,0,0,2,2,2,11,22,26,9,74,0.0,0.0,0.0,2.7027027027027026,2.7027027027027026,2.7027027027027026,14.864864864864865,29.72972972972973,35.13513513513514,12.162162162162163
2020 - 25,2020,25,0,0,0,0,2,4,6,14,17,10,53,0.0,0.0,0.0,0.0,3.7735849056603774,7.547169811320755,11.320754716981133,26.41509433962264,32.075471698113205,18.867924528301888
2020 - 26,2020,26,0,0,0,0,2,7,12,9,17,8,55,0.0,0.0,0.0,0.0,3.6363636363636362,12.727272727272727,21.818181818181817,16.363636363636363,30.909090909090907,14.545454545454545
2020 - 27,2020,27,0,0,0,0,2,2,9,13,13,6,45,0.0,0.0,0.0,0.0,4.444444444444445,4.444444444444445,20.0,28.888888888888886,28.888888888888886,13.333333333333334
2020 - 28,2020,28,0,0,0,0,2,5,4,8,4,6,29,0.0,0.0,0.0,0.0,6.896551724137931,17.24137931034483,13.793103448275861,27.586206896551722,13.793103448275861,20.689655172413794
2020 - 29,2020,29,0,0,0,0,0,2,4,6,11,2,25,0.0,0.0,0.0,0.0,0.0,8.0,16.0,24.0,44.0,8.0
