date,RKI reporting date,cases cumulative,cases,deaths cumulative,deaths,case fatility rate (CFR),non-deceased reported cases,cases (mean of ±3 days),deaths (mean of ±3 days),R0 by cases (mean of ±3 days),daily proportionate increase of cases (mean of ±3 days),cases last 7 days,deaths last 7 days,"7 day incidence per 100,000 inhabitants","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants","7 day deaths per 1,000,000 inhabitants","7 day deaths (by cases (mean of ±3 days)) per 1,000,000 inhabitants","cases (mean of ±3 days) by reference date (start of illness, alternatively reporting date)","deaths (mean of ±3 days) by reference date (start of illness, alternatively reporting date)",cases (mean of ±3 days) by reporting date,deaths (mean of ±3 days) by reporting date,"7 day incidence per 100,000 inhabitants by reporting date (RKI version)","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants by reporting date (RKI version)",R value by cases (mean of ±3 days),cases last 365 days,deaths last 365 days,cases with reported start of illness (mean of ±3 days),R value by cases with reported start of illness (mean of ±3 days),"cases by reference date (start of illness, alternatively reporting date)",cases by reporting date,"new reported cases by reference date (start of illness, alternatively reporting date)",new reported cases by reporting date,"deaths by reference date (start of illness, alternatively reporting date)",deaths by reporting date,"new reported deaths by reference date (start of illness, alternatively reporting date)",new reported deaths by reporting date,new reported cases with known start of illness,new reported cases with unknown start of illness (reporting date),new reported deaths with known start of illness,new reported deaths with unknown start of illness (reporting date),cases with reported start of illness,cases with unknown start of illness (reporting date),deaths with reported start of illness,deaths with unknown start of illness (reporting date)
2020-01-11,,,,,,,,,,,,,,,,,,5.285714285714286,,,,,,,0.0,0.0,5.285714285714286,0.5212464589235127,4.0,,,,,,,,,,,,4.0,,,
2020-01-12,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.0,0.0,5.0,0.5242718446601942,7.0,,,,,,,,,,,,7.0,,,
2020-01-13,,,,,,,,,,,,,,,,,,4.571428571428571,,,,,,,0.0,0.0,4.571428571428571,0.5648854961832059,8.0,,,,,,,,,,,,8.0,,,
2020-01-14,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.0,0.0,5.0,0.6347031963470319,2.0,,,,,,,,,,,,2.0,,,
2020-01-15,,,,,,,,,,,,,,,,,,4.857142857142857,,,,,,,0.0,0.0,4.857142857142857,0.7391304347826086,5.0,,,,,,,,,,,,5.0,,,
2020-01-16,,,,,,,,,,,,,,,,,,4.714285714285714,,,,,,,0.0,0.0,4.714285714285714,0.8271604938271605,4.0,,,,,,,,,,,,4.0,,,
2020-01-17,,,,,,,,,,,,,,,,,,4.714285714285714,,,,,,,0.0,0.0,4.714285714285714,0.9121621621621625,5.0,,,,1.0,,,,,,,,5.0,,1.0,
2020-01-18,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.0,0.0,5.0,0.9712230215827339,3.0,,,,,,,,,,,,3.0,,,
2020-01-19,,,,,,,,,,,,,,,,,,5.142857142857143,,,,,,,0.0,0.0,5.142857142857143,1.0073529411764708,6.0,,,,,,,,,,,,6.0,,,
2020-01-20,,,,,,,,,,,,,,,,,,5.142857142857143,,,,,,,0.0,0.0,5.0,1.037313432835821,8.0,,,,,,,,,,,,8.0,,,
2020-01-21,,,,,,,,,,,,,,,,,,5.285714285714286,,,,,,,0.0,0.0,5.142857142857143,1.0518518518518516,4.0,,,,,,,,,,,,4.0,,,
2020-01-22,,,,,,,,,,,,,,,,,,5.285714285714286,,,,,,,0.0,0.0,5.142857142857143,1.0592592592592593,6.0,,,,,,,,,,,,6.0,,,
2020-01-23,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.0,0.0,4.857142857142857,1.0291970802919708,4.0,1.0,,,,,,,,,,,3.0,1.0,,
2020-01-24,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.0,0.0,4.857142857142857,1.0071942446043165,6.0,,,,1.0,,,,,,,,6.0,,1.0,
2020-01-25,,,,,,,,,,,,,,,,,,5.285714285714286,,,,,,,0.0,0.0,5.142857142857143,0.9859154929577465,3.0,,,,,,,,,,,,3.0,,,
2020-01-26,,,,,,,,,,,,,,,,,,5.714285714285714,,,,,,,0.0,0.0,5.571428571428571,1.0000000000000002,4.0,,,,,,,,,,,,4.0,,,
2020-01-27,,,,,,,,,,,,,,,,,,6.571428571428571,,,,,,,0.0,0.0,6.571428571428571,1.099290780141844,8.0,,,,,,,,,,,,8.0,,,
2020-01-28,,,,,,,,,,,,,,,,,,7.142857142857143,,,,,,,0.0,0.0,7.0,1.2142857142857142,6.0,2.0,,,,,,,,,,,6.0,,,
2020-01-29,,,,,,,,,,,,,,,,,,8.0,,,,,,,0.0,0.0,7.714285714285714,1.342857142857143,9.0,2.0,,,,,,,,,,,9.0,,,
2020-01-30,,,,,,,,,,,,,,,,,,9.0,,,,,,,0.0,0.0,8.714285714285714,1.4685314685314683,10.0,,,,1.0,,,,,,,,10.0,,1.0,
