calendar week,reporting year,reporting week,reported cases,mean age,men,women,number with information on symptoms,proportion of no symptoms or no symptoms significant for COVID-19,number with hospitalization data,number hospitalized,proportion hospitalized,number deceased,proportion deceased,no symptoms or no symptoms significant for COVID-19 in %,hospitalized in %,deceased in %,cases hospitalized age group 00 - 04,cases hospitalized age group 05 - 14,cases hospitalized age group 15 - 34,cases hospitalized age group 35 - 59,cases hospitalized age group 60 - 79,cases hospitalized age group 80+,cases not hospitalized,cases not known if hospitalized,cases hospitalized unknown age group
2020 - 20,2020,20,4762,45,0.4953742640874685,0.5046257359125316,3946,0.2316269640141915,4244,763,0.1797832233741753,164,0.03443931121,23.16269640141916,17.97832233741753,3.443931121,,,,,,,3481,518,763.0
2020 - 21,2020,21,3609,43,0.5030572540300167,0.4969427459699833,2837,0.2647162495593937,3120,513,0.1644230769230769,113,0.03131061235,26.47162495593937,16.442307692307693,3.131061235,,,,,,,2607,489,513.0
2020 - 22,2020,22,3204,42,0.5156641604010025,0.4843358395989975,2548,0.2323390894819466,2769,421,0.1520404478150957,65,0.02028714107,23.233908948194664,15.204044781509571,2.028714107,,,,,,,2348,435,421.0
2020 - 23,2020,23,2352,39,0.5066041755432467,0.4933958244567533,1838,0.2317736670293797,2080,308,0.148076923076923,45,0.01913265306,23.177366702937977,14.807692307692308,1.913265306,,,,,,,1772,272,308.0
2020 - 24,2020,24,2342,37,0.5358215358215358,0.4641784641784642,1743,0.2444061962134251,2088,288,0.1379310344827586,33,0.01409052092,24.440619621342517,13.79310344827586,1.409052092,,,,,,,1800,254,288.0
2020 - 25,2020,25,4126,36,0.5881495871782418,0.4118504128217581,2937,0.2512768130745659,3772,319,0.0845705196182396,41,0.00993698497,25.12768130745659,8.457051961823966,0.993698497,,,,,,,3453,354,319.0
2020 - 26,2020,26,3212,37,0.55143391521197,0.4485660847880299,2330,0.2326180257510729,2863,296,0.1033880544882989,23,0.00716064757,23.261802575107296,10.338805448829898,0.716064757,,,,,,,2567,349,296.0
2020 - 27,2020,27,2690,36,0.5213834139085162,0.4786165860914838,2066,0.2671829622458858,2463,259,0.1051563134388956,26,0.0096654275,26.718296224588578,10.515631343889568,0.96654275,,,,,,,2204,227,259.0
2020 - 28,2020,28,2427,36,0.5590421139554087,0.4409578860445912,1935,0.2387596899224806,2193,256,0.116735066119471,25,0.01030078285,23.875968992248065,11.673506611947104,1.030078285,,,,,,,1937,234,256.0
2020 - 29,2020,29,3014,36,0.5247755237778516,0.4752244762221483,2359,0.2297583721916066,2645,317,0.1198487712665406,30,0.00995355009,22.97583721916066,11.984877126654064,0.995355009,,,,,,,2328,369,317.0
2020 - 30,2020,30,3929,36,0.5233477928042868,0.4766522071957132,3183,0.273641218975809,3478,334,0.0960322024151811,33,0.00839908373,27.3641218975809,9.603220241518114,0.839908373,,,,,,,3144,451,334.0
2020 - 31,2020,31,4822,36,0.5021815915229586,0.4978184084770413,3715,0.2457604306864064,4175,389,0.0931736526946107,32,0.00663625051,24.576043068640647,9.317365269461078,0.663625051,,,,,,,3786,647,389.0
2020 - 32,2020,32,6058,34,0.5367063492063492,0.4632936507936508,4556,0.3002633889376646,5287,399,0.075468129373936,31,0.00511720039,30.026338893766464,7.546812937393607,0.511720039,,,,,,,4888,771,399.0
2020 - 33,2020,33,7949,32,0.5340980713475356,0.4659019286524644,5855,0.3325362937660119,7009,439,0.0626337565986588,30,0.00377405963,33.2536293766012,6.263375659865887,0.3774059629999999,,,,,,,6570,940,439.0
2020 - 34,2020,34,9591,32,0.5472944630872483,0.4527055369127516,7211,0.3453057828317847,8310,434,0.0522262334536702,30,0.00312793243,34.53057828317848,5.222623345367028,0.312793243,,,,,,,7876,1281,434.0
2020 - 35,2020,35,8823,32,0.5311894172653666,0.4688105827346334,6878,0.3073567897644664,7429,366,0.0492663884775878,18,0.0020401224,30.73567897644664,4.926638847758783,0.2040122399999999,,,,,,,7063,1394,366.0
2020 - 36,2020,36,8614,33,0.5367020655852491,0.4632979344147508,6656,0.2722355769230769,7081,397,0.0560655274678717,36,0.00417924309,27.223557692307693,5.606552746787177,0.417924309,,,,,,,6684,1533,397.0
2020 - 37,2020,37,9769,35,0.5178516308262167,0.4821483691737833,7605,0.2049967126890204,8037,465,0.0578574094811496,66,0.0067560651,20.49967126890204,5.785740948114968,0.6756065099999999,12.0,12.0,50.0,156.0,138.0,96.0,7572,1732,
2020 - 38,2020,38,12296,36,0.5120575492520232,0.4879424507479767,9768,0.1867321867321867,10067,674,0.0669514254494884,79,0.00642485361,18.67321867321867,6.695142544948843,0.642485361,8.0,10.0,77.0,235.0,206.0,138.0,9393,2229,
2020 - 39,2020,39,13063,37,0.5163474113393338,0.4836525886606662,10361,0.1819322459222082,10853,771,0.0710402653644153,107,0.00819107402,18.193224592220822,7.104026536441537,0.819107402,9.0,7.0,112.0,237.0,253.0,153.0,10082,2210,
2020 - 40,2020,40,15932,38,0.5192973619593276,0.4807026380406724,12613,0.1754538967731705,13481,875,0.0649061642311401,121,0.0075947778,17.545389677317054,6.490616423114012,0.75947778,15.0,9.0,115.0,274.0,287.0,175.0,12606,2451,
2020 - 41,2020,41,26126,39,0.510353040605432,0.489646959394568,20100,0.1662686567164179,21546,1586,0.0736099508029332,238,0.00910969915,16.62686567164179,7.360995080293326,0.910969915,21.0,17.0,206.0,488.0,502.0,351.0,19960,4580,
2020 - 42,2020,42,42087,39,0.5085624208841864,0.4914375791158136,30879,0.1598497360665824,33703,2325,0.0689849568287689,458,0.01088222016,15.984973606658246,6.898495682876896,1.088222016,24.0,25.0,262.0,672.0,780.0,559.0,31378,8384,
2020 - 43,2020,43,74824,40,0.501504082509669,0.4984959174903309,52396,0.1547637224215589,58134,4101,0.0705439157807823,991,0.01324441355,15.47637224215589,7.054391578078232,1.324441355,50.0,30.0,428.0,1051.0,1412.0,1123.0,54033,16690,
2020 - 44,2020,44,111090,41,0.4972655825576763,0.5027344174423237,75617,0.1577026330058055,83939,5907,0.0703725324342677,1586,0.01427671257,15.770263300580556,7.037253243426775,1.427671257,64.0,49.0,541.0,1490.0,2076.0,1682.0,78032,27151,
2020 - 45,2020,45,125803,41,0.4912609538456609,0.5087390461543391,85213,0.1521716170067947,92744,6828,0.0736220132838782,1849,0.01469758272,15.217161700679474,7.36220132838782,1.469758272,65.0,58.0,601.0,1680.0,2378.0,2044.0,85916,33059,
2020 - 46,2020,46,127846,42,0.4845576454059686,0.5154423545940314,85770,0.1484318526291244,94452,7470,0.0790877906238089,2457,0.01921843467,14.84318526291244,7.908779062380892,1.921843467,64.0,68.0,569.0,1707.0,2559.0,2492.0,86982,33394,
2020 - 47,2020,47,128465,43,0.4744436867558649,0.5255563132441351,86386,0.1480911258768782,93960,8011,0.0852596849723286,3140,0.02444245514,14.80911258768782,8.525968497232865,2.444245514,54.0,54.0,598.0,1655.0,2838.0,2806.0,85949,34505,
2020 - 48,2020,48,123294,44,0.4655282190260069,0.5344717809739931,82373,0.1546623286756583,89759,8250,0.0919127886897135,3496,0.02835498888,15.466232867565829,9.191278868971358,2.835498888,63.0,68.0,555.0,1675.0,2844.0,3040.0,81509,33535,
2020 - 49,2020,49,128507,45,0.4591511977925498,0.5408488022074501,87341,0.1420638646225713,94106,9083,0.0965188192038764,4357,0.03390476783,14.20638646225713,9.651881920387648,3.390476783,58.0,58.0,591.0,1651.0,3144.0,3574.0,85023,34401,
2020 - 50,2020,50,156524,46,0.4538502109704641,0.5461497890295358,107266,0.146486305073369,114606,11140,0.0972025897422473,5589,0.03570698423,14.648630507336902,9.720258974224736,3.570698423,70.0,66.0,667.0,1940.0,3899.0,4490.0,103466,41918,
2020 - 51,2020,51,174927,46,0.4518216199724843,0.5481783800275157,117823,0.1439277560408409,126199,12344,0.0978137703151372,6257,0.03576920658,14.392775604084092,9.78137703151372,3.576920658,78.0,83.0,694.0,2147.0,4311.0,5024.0,113855,48728,
2020 - 52,2020,52,139207,48,0.4449202193064938,0.5550797806935062,91190,0.1576050005483057,99767,10900,0.1092545631320977,5557,0.03991896959,15.760500054830572,10.92545631320978,3.991896959,53.0,49.0,593.0,1827.0,3838.0,4526.0,88867,39440,
2020 - 53,2020,53,123196,49,0.4412344971552536,0.5587655028447465,84149,0.1340835898228143,90207,10775,0.119447492988349,5530,0.04488782103,13.40835898228143,11.944749298834902,4.488782103,74.0,51.0,602.0,1863.0,3780.0,4391.0,79432,32989,
2021 - 01,2021,1,145489,48,0.4508527002753331,0.5491472997246669,101341,0.1319998815879061,106583,10811,0.1014326862632877,5521,0.03794788609,13.199988158790616,10.143268626328776,3.794788609,64.0,32.0,563.0,1748.0,3847.0,4555.0,95772,38906,
2021 - 02,2021,2,119012,48,0.4542993414352638,0.5457006585647363,81045,0.1573817015238447,87211,9547,0.109470135648026,4912,0.04127314892,15.73817015238448,10.947013564802605,4.127314892,58.0,46.0,506.0,1542.0,3283.0,4108.0,77664,31801,
2021 - 03,2021,3,95580,48,0.4581944034102899,0.5418055965897101,66628,0.156525784955274,72401,8501,0.1174155053107001,3909,0.04089767733,15.652578495527406,11.741550531070011,4.089767733,39.0,36.0,385.0,1409.0,3048.0,3581.0,63900,23179,
2021 - 04,2021,4,78248,48,0.463103768235476,0.536896231764524,55045,0.1589426832591516,60909,7181,0.1178971908913296,2959,0.03781566302,15.894268325915158,11.78971908913297,3.781566302,33.0,30.0,388.0,1174.0,2678.0,2876.0,53728,17339,
2021 - 05,2021,5,64679,46,0.4737466256807153,0.5262533743192848,46412,0.1599155390847194,51002,6152,0.1206227206776204,2117,0.03273087091,15.991553908471948,12.062272067762049,3.2730870910000003,42.0,37.0,344.0,1078.0,2243.0,2406.0,44850,13677,
2021 - 06,2021,6,50855,45,0.4837839980968995,0.5162160019031005,37285,0.1636314871932412,40423,4942,0.1222571308413527,1589,0.03124569855,16.363148719324126,12.22571308413527,3.124569855,38.0,23.0,283.0,933.0,1857.0,1808.0,35481,10432,
2021 - 07,2021,7,52500,44,0.4917812685808543,0.5082187314191458,38562,0.1626471656034438,42042,4868,0.11578897293183,1368,0.02605714285,16.26471656034438,11.578897293183008,2.605714285,35.0,22.0,299.0,989.0,1914.0,1608.0,37174,10458,
2021 - 08,2021,8,56479,42,0.4971332929738969,0.502866707026103,41513,0.1573483005323633,44859,4519,0.1007378675405158,1112,0.01968873386,15.734830053236337,10.073786754051584,1.9688733860000005,43.0,31.0,302.0,1014.0,1704.0,1425.0,40340,11620,
2021 - 09,2021,9,58521,40,0.5070403163414424,0.4929596836585576,43157,0.1547836967351762,46156,4059,0.0879408960915157,908,0.01551579774,15.478369673517625,8.794089609151573,1.551579774,49.0,28.0,314.0,964.0,1520.0,1183.0,42097,12365,
2021 - 10,2021,10,71470,39,0.5027196888563216,0.4972803111436785,51926,0.1554712475445826,54983,4492,0.0816979793754433,932,0.01304043654,15.547124754458268,8.169797937544331,1.304043654,50.0,37.0,374.0,1241.0,1591.0,1199.0,50491,16487,
2021 - 11,2021,11,92815,39,0.5040049425000813,0.4959950574999187,65879,0.1526890207805218,70094,5135,0.07325876679887,994,0.01070947583,15.268902078052188,7.325876679887008,1.070947583,74.0,65.0,430.0,1429.0,1927.0,1208.0,64959,22721,
2021 - 12,2021,12,116666,38,0.5079288347159517,0.4920711652840482,78845,0.1552793455513983,86285,5908,0.0684707654864692,1032,0.00884576483,15.52793455513983,6.847076548646926,0.884576483,74.0,74.0,546.0,1674.0,2179.0,1358.0,80377,30381,
2021 - 13,2021,13,110482,39,0.5124525962660443,0.4875474037339556,71816,0.1516653670491255,79097,5611,0.0709382151029748,857,0.00775691967,15.166536704912554,7.093821510297483,0.775691967,81.0,84.0,504.0,1617.0,2111.0,1213.0,73486,31385,
2021 - 14,2021,14,118417,39,0.5078737143002986,0.4921262856997014,74603,0.1373805342948675,82456,5424,0.0657805374987872,496,0.00418858778,13.73805342948675,6.578053749878723,0.418858778,86.0,59.0,587.0,1607.0,1987.0,1095.0,77032,35961,
2021 - 15,2021,15,140789,38,0.5102487705065154,0.4897512294934846,74445,0.1565853986164282,89745,3965,0.0441807343027466,180,0.00127850897,15.658539861642822,4.418073430274667,0.127850897,69.0,69.0,455.0,1048.0,1465.0,852.0,85780,51044,
