calendar week,Not documented in an outbreak,Private household,Retirement/nursing home,Work place,Educational institution,Leisure,Overnight stay,Other,Unknown,Residences,Refugee accomodation,Health care centre,Medical practice,Medical rehabilitation,"Kindergarten, after-school child care",Dining venue,Public transport,Hospital,Care facility,Day-care centre for the elderly,Residential home,sum of cases,Not documented in an outbreak (%),Private household (%),Retirement/nursing home (%),Work place (%),Educational institution (%),Leisure (%),Overnight stay (%),Other (%),Unknown (%),Residences (%),Refugee accomodation (%),Health care centre (%),Medical practice (%),Medical rehabilitation (%),"Kindergarten, after-school child care (%)",Dining venue (%),Public transport (%),Hospital (%),Care facility (%),Day-care centre for the elderly (%),Residential home (%)
2021 - 03,72393,6171,9421,1160,54.0,61.0,12.0,372,1526,496.0,332.0,92.0,240.0,115.0,368.0,13.0,1.0,1941.0,294.0,312.0,145.0,95519,75.78911001999602,6.460494770673897,9.86295920183419,1.2144180738910584,0.05653325516389409,0.06386164009254702,0.012562945591976465,0.3894513133512704,1.5975879144463405,0.519268417801694,0.3475748280446822,0.0963159162051529,0.2512589118395293,0.12039489525644113,0.3852636648206116,0.013609857724641171,0.0010469121326647055,2.032056449502193,0.30779216700342343,0.32663658539138807,0.1518022592363823
2021 - 04,58680,5783,6721,1478,93.0,63.0,11.0,247,1183,374.0,339.0,64.0,183.0,101.0,350.0,17.0,7.0,1702.0,324.0,223.0,180.0,78123,75.11232287546561,7.402429502195257,8.603100239366128,1.8918884323438678,0.11904304750201605,0.08064206443684958,0.014080360457227705,0.31616809390320394,1.5142787655363978,0.47873225554574195,0.4339311086363811,0.08192209720568847,0.23424599669751547,0.1292833096527271,0.44801146909360884,0.021760557070260998,0.008960229381872175,2.1786157725637776,0.4147306171037979,0.2854473074510708,0.23040589839099881
2021 - 05,48848,5334,4167,1689,71.0,81.0,1.0,264,964,243.0,276.0,57.0,162.0,93.0,340.0,8.0,2.0,1391.0,278.0,192.0,91.0,64552,75.67232618664022,8.263105713223448,6.4552608749535265,2.616495228652869,0.10998884620151196,0.1254802329904573,0.0015491386788945346,0.40897261122815715,1.4933696864543313,0.3764406989713719,0.42756227537489155,0.08830090469698847,0.2509604659809146,0.1440698971371917,0.5267071508241418,0.012393109431156277,0.003098277357789069,2.1548519023422976,0.4306605527326806,0.29743462634775064,0.14097161977940265
2021 - 06,37776,5090,2552,1687,78.0,49.0,15.0,249,719,197.0,111.0,46.0,188.0,71.0,439.0,7.0,1.0,1093.0,168.0,171.0,95.0,50802,74.35927719381127,10.01929057911106,5.023424274634857,3.320735404117948,0.1535372623125074,0.0964528955552931,0.029526396598559115,0.49013818353608124,1.4152986102909335,0.38778000866107637,0.21849533482933742,0.09054761623558127,0.37006417070194086,0.1397582772331798,0.8641392071178301,0.013778985079327585,0.001968426439903941,2.151490098815007,0.330695641903862,0.3366009212235739,0.18700051179087437
2021 - 07,38794,5558,1844,1979,56.0,101.0,7.0,304,838,294.0,175.0,33.0,245.0,117.0,544.0,5.0,10.0,1160.0,152.0,133.0,33.0,52382,74.0597915314421,10.610515062426023,3.520293230499026,3.7780153487839336,0.10690695277003552,0.1928143255316712,0.01336336909625444,0.58035202932305,1.59978618609446,0.5612615020426864,0.33408422740636096,0.0629987400251995,0.46771791836890536,0.22335916918025275,1.0385246840517735,0.009545263640181741,0.019090527280363482,2.214501164522164,0.290176014661525,0.25390401282883435,0.0629987400251995
2021 - 08,41681,6523,1370,2133,163.0,100.0,4.0,374,934,291.0,226.0,46.0,248.0,87.0,884.0,16.0,11.0,817.0,160.0,186.0,93.0,56347,73.97199495980266,11.576481445329831,2.4313628054732286,3.7854721635579534,0.28927893233002644,0.1774717376257831,0.007098869505031324,0.6637442987204287,1.6575860294248141,0.5164427564910288,0.4010861270342698,0.08163699930786023,0.4401299093119421,0.1544004117344313,1.5688501606119225,0.028395478020125296,0.01952189113883614,1.449944096402648,0.2839547802012529,0.3300974319839565,0.16504871599197826
2021 - 09,44113,6855,836,2019,367.0,109.0,10.0,384,860,217.0,261.0,18.0,182.0,58.0,1121.0,9.0,2.0,494.0,151.0,214.0,91.0,58371,75.57348683421561,11.743845402682838,1.4322180534854636,3.458909389936784,0.6287368727621593,0.18673656438985112,0.01713179489815148,0.6578609240890168,1.4733343612410272,0.3717599492898871,0.4471398468417536,0.030837230816672664,0.31179866714635696,0.09936441040927857,1.920474208082781,0.015418615408336332,0.0034263589796302957,0.846310667968683,0.25869010296208733,0.36662041082044167,0.15589933357317848
2021 - 10,54412,8478,774,2156,540.0,162.0,5.0,366,992,305.0,255.0,55.0,108.0,63.0,1865.0,1.0,8.0,421.0,168.0,91.0,84.0,71309,76.30453378956373,11.889102357346196,1.0854169880379756,3.0234612741729654,0.7572676660730062,0.22718029982190185,0.007011737648824132,0.5132591958939264,1.3911287495267077,0.42771599657827203,0.3575986200900307,0.07712911413706544,0.15145353321460125,0.08834789437518406,2.615378143011401,0.0014023475297648262,0.01121878023811861,0.5903883100309919,0.23559438500049082,0.1276136252085992,0.11779719250024541
2021 - 11,72454,10263,867,2504,533.0,213.0,3.0,544,1297,329.0,314.0,42.0,179.0,50.0,1987.0,21.0,10.0,444.0,187.0,159.0,181.0,92581,78.26011816679448,11.085427895572526,0.9364772469513184,2.704658623259632,0.5757120791523099,0.23006880461433774,0.003240405698793489,0.5875935667145527,1.4009353971117184,0.35536449163435263,0.3391624631403852,0.04536567978310885,0.19334420669467817,0.05400676164655815,2.146228707834221,0.022682839891554424,0.01080135232931163,0.47958004342143634,0.2019852885581275,0.1717415020360549,0.1955044771605405
2021 - 12,93608,12155,781,2596,747.0,237.0,19.0,465,1565,346.0,425.0,60.0,132.0,51.0,2165.0,9.0,17.0,364.0,272.0,75.0,178.0,116267,80.51123706640749,10.454385165180145,0.6717297255455116,2.232791763785081,0.6424866901184343,0.20384115871227432,0.016341696268072626,0.39994151392914584,1.3460397189228241,0.2975908899343752,0.36553794283846663,0.05160535663601882,0.1135317845992414,0.04386455314061599,1.8620932852830123,0.007740803495402822,0.014621517713538664,0.3130724969251808,0.23394428341661863,0.06450669579502352,0.1530958913535225
2021 - 13,90907,11066,750,2158,477.0,188.0,4.0,370,1381,276.0,451.0,43.0,109.0,51.0,1269.0,9.0,8.0,257.0,145.0,70.0,107.0,110096,82.5706656009301,10.05122801918326,0.6812236593518384,1.9601075425083565,0.43325824734776924,0.17076006394419416,0.003633192849876471,0.3360703386135736,1.2543598314198516,0.2506903066414765,0.40964249382357215,0.03905682313617207,0.09900450515913385,0.04632320883592501,1.1526304316233105,0.00817468391222206,0.007266385699752942,0.23343264060456329,0.1317032408080221,0.06358087487283826,0.09718790873419561
2021 - 14,99496,12176,538,1909,189.0,161.0,8.0,397,1418,274.0,354.0,22.0,107.0,52.0,659.0,12.0,4.0,218.0,112.0,50.0,111.0,118267,84.12828599693913,10.295348660234891,0.45490288922522765,1.6141442667861703,0.15980789231146475,0.13613264900606256,0.00676435523011491,0.33568112829445235,1.1989819645378677,0.23167916663143565,0.2993227189325847,0.018601976882816,0.09047325120278692,0.04396830899574691,0.5572137620807157,0.010146532845172364,0.003382177615057455,0.1843286800206313,0.09470097322160873,0.04227722018821818,0.09385542881784437
2021 - 15,118698,14741,613,2335,353.0,172.0,4.0,501,1796,362.0,828.0,21.0,117.0,76.0,917.0,2.0,7.0,234.0,91.0,66.0,126.0,142060,83.55483598479516,10.376601436012953,0.4315078135998874,1.6436716880191469,0.24848655497677039,0.1210756018583697,0.002815711671124877,0.35266788680839084,1.2642545403350696,0.25482190623680134,0.5828523159228496,0.014782486273405603,0.08235956638040265,0.053498521751372666,0.645501900605378,0.0014078558355624384,0.004927495424468535,0.1647191327608053,0.06405744051809094,0.04645924257356047,0.08869491764043362
2021 - 16,120111,14224,655,3215,599.0,170.0,4.0,648,1838,404.0,834.0,7.0,161.0,50.0,1187.0,13.0,17.0,252.0,126.0,104.0,139.0,144758,82.97365257878666,9.82605451857583,0.4524793102971857,2.2209480650464917,0.41379405628704463,0.11743737824507108,0.0027632324292957903,0.447643653545918,1.2697053012614157,0.2790864753588748,0.5761339615081722,0.004835656751267633,0.11122010527915556,0.03454040536619738,0.8199892233935256,0.008980505395211318,0.011743737824507109,0.17408364304563478,0.08704182152281739,0.07184404316169055,0.0960223269180287
2021 - 17,103220,12645,581,3095,443.0,203.0,5.0,492,1476,280.0,701.0,6.0,91.0,70.0,988.0,14.0,14.0,188.0,117.0,48.0,114.0,124791,82.71429830676892,10.13294227949131,0.46557844716365765,2.480146805458727,0.35499354921428633,0.1626719875632057,0.00400669920106418,0.39425920138471526,1.1827776041541458,0.22437515525959403,0.561739227989198,0.004808039041277016,0.07292192545936806,0.05609378881489851,0.7917237621302818,0.011218757762979703,0.011218757762979703,0.15065188996001314,0.09375676130490179,0.038464312330216126,0.0913527417842633
2021 - 18,83316,10604,562,2325,280.0,149.0,,467,1397,246.0,645.0,11.0,76.0,64.0,449.0,10.0,2.0,161.0,70.0,18.0,130.0,100982,82.50579311164365,10.500881345190232,0.5565348279891466,2.3023905250440673,0.2772771384999307,0.14755104870174882,,0.4624586559980987,1.3834148660157257,0.24360777168208197,0.6387276940444833,0.010893030441068706,0.07526093759283832,0.06337763165712701,0.44463369709453165,0.009902754946426095,0.001980550989285219,0.15943435463746014,0.06931928462498267,0.017824958903566973,0.12873581430353925
2021 - 19,58272,7478,429,1588,219.0,126.0,3.0,371,913,175.0,382.0,12.0,46.0,32.0,463.0,5.0,8.0,133.0,70.0,32.0,62.0,70819,82.28300314887248,10.559313178666741,0.6057696380914727,2.242336096245358,0.30923904601872376,0.1779183552436493,0.004236151315324984,0.5238707126618563,1.2892020502972366,0.2471088267272907,0.5394032674847146,0.016944605261299935,0.06495432016831641,0.04518561403013316,0.6537793529984891,0.007060252192208305,0.01129640350753329,0.18780270831274093,0.09884353069091628,0.04518561403013316,0.08754712718338299
2021 - 20,43447,6061,245,838,130.0,112.0,,285,712,162.0,261.0,8.0,13.0,20.0,256.0,14.0,9.0,42.0,18.0,18.0,46.0,52697,82.44681860447464,11.501603506840997,0.4649221018274285,1.5902233523730003,0.24669336015332943,0.21253581797825305,,0.5408277511053761,1.3511205571474658,0.30741787957568745,0.4952843615386075,0.015181129855589504,0.02466933601533294,0.03795282463897376,0.4857961553788641,0.02656697724728163,0.01707877108753819,0.07970093174184488,0.03415754217507638,0.03415754217507638,0.08729149666963963
2021 - 21,24065,3851,134,568,110.0,26.0,,156,435,49.0,172.0,1.0,11.0,10.0,170.0,11.0,5.0,39.0,14.0,14.0,29.0,29870,80.56578506863073,12.89253431536659,0.44861064613324403,1.9015734851021089,0.36826247070639434,0.08704385671242049,,0.5222631402745229,1.4563106796116505,0.16404419149648478,0.5758285905590894,0.0033478406427854034,0.03682624707063944,0.03347840642785404,0.5691329092735186,0.03682624707063944,0.01673920321392702,0.13056578506863073,0.04686976899899565,0.04686976899899565,0.0970873786407767
2021 - 22,16494,2730,100,385,99.0,40.0,16.0,127,255,58.0,156.0,3.0,10.0,,113.0,8.0,6.0,23.0,16.0,15.0,19.0,20673,79.7852271078218,13.205630532578727,0.4837227301310889,1.8623325110046922,0.478885502829778,0.19348909205243553,0.07739563682097422,0.6143278672664829,1.2334929618342765,0.28055918347603154,0.7546074590044985,0.014511681903932667,0.04837227301310888,,0.5466066850481304,0.03869781841048711,0.029023363807865334,0.11125622793015043,0.07739563682097422,0.07255840951966333,0.09190731872490689
2021 - 23,11048,1918,45,241,153.0,44.0,27.0,119,192,38.0,80.0,,1.0,1.0,67.0,13.0,12.0,9.0,2.0,11.0,8.0,14029,78.7511583149191,13.671680091239574,0.320764131442013,1.7178701261672251,1.090598046902844,0.31363603963219044,0.19245847886520778,0.8482429253688787,1.368593627485922,0.2708674887732554,0.5702473447858009,,0.007128091809822511,0.007128091809822511,0.4775821512581082,0.09266519352769263,0.08553710171787013,0.06415282628840259,0.014256183619645021,0.07840900990804761,0.057024734478580086
2021 - 24,5604,1037,5,132,105.0,13.0,6.0,66,112,33.0,23.0,,,1.0,61.0,21.0,27.0,6.0,4.0,1.0,9.0,7266,77.12634186622626,14.27195155518855,0.06881365262868154,1.8166804293971925,1.4450867052023122,0.17891549683457197,0.08257638315441783,0.9083402146985963,1.5414258188824663,0.45417010734929814,0.316542802091935,,,0.013762730525736306,0.8395265620699147,0.2890173410404624,0.37159372419488024,0.08257638315441783,0.055050922102945224,0.013762730525736306,0.12386457473162675
2021 - 25,3637,726,3,89,63.0,34.0,3.0,53,98,25.0,26.0,,,,22.0,29.0,5.0,1.0,,,3.0,4817,75.5034253684866,15.071621341083663,0.062279427029271334,1.8476230018683828,1.307867967614698,0.7058335063317417,0.062279427029271334,1.100269877517127,2.034461282956197,0.5189952252439277,0.5397550342536849,,,,0.4567157982146564,0.6020344612829562,0.10379904504878555,0.020759809009757112,,,0.062279427029271334
2021 - 26,3370,593,6,64,47.0,75.0,10.0,38,76,22.0,6.0,,,,11.0,15.0,14.0,5.0,,,2.0,4354,77.40009186954525,13.619660082682591,0.13780431786862654,1.4699127239320164,1.0794671566375746,1.7225539733578317,0.22967386311437757,0.8727606798346348,1.7455213596692696,0.5052824988516307,0.13780431786862654,,,,0.25264124942581534,0.3445107946715664,0.3215434083601286,0.11483693155718878,,,0.045934772622875514
2021 - 27,4193,627,16,122,86.0,76.0,21.0,121,131,17.0,7.0,3.0,3.0,,5.0,91.0,27.0,8.0,5.0,8.0,1.0,5568,75.30531609195403,11.260775862068966,0.28735632183908044,2.1910919540229887,1.5445402298850575,1.3649425287356323,0.3771551724137931,2.173132183908046,2.3527298850574714,0.305316091954023,0.1257183908045977,0.05387931034482758,0.05387931034482758,,0.08979885057471264,1.63433908045977,0.4849137931034483,0.14367816091954022,0.08979885057471264,0.14367816091954022,0.017959770114942528
2021 - 28,7081,888,15,184,89.0,139.0,57.0,215,202,19.0,7.0,4.0,1.0,,11.0,104.0,62.0,4.0,,1.0,9.0,9092,77.88165420149582,9.766827980642322,0.16498020237571492,2.023757149142103,0.9788825340959085,1.5288165420149582,0.6269247690277167,2.3647162340519134,2.2217333919929607,0.2089749230092389,0.07699076110866696,0.04399472063352398,0.010998680158380994,,0.12098548174219095,1.1438627364716234,0.6819181698196217,0.04399472063352398,,0.010998680158380994,0.09898812142542894
2021 - 29,9807,1313,18,185,182.0,265.0,55.0,329,216,38.0,16.0,,5.0,,35.0,112.0,29.0,2.0,4.0,5.0,10.0,12626,77.67305559955648,10.3991763028671,0.14256296530967844,1.4652304767939173,1.4414699825756376,2.098843655948044,0.43560906066846194,2.6057341992713448,1.7107555837161412,0.30096626009821004,0.1267226358308253,,0.0396008236971329,,0.2772057658799303,0.887058450815777,0.22968477744337085,0.015840329478853162,0.031680658957706324,0.0396008236971329,0.0792016473942658
2021 - 30,12082,2008,89,133,192.0,292.0,41.0,236,202,54.0,22.0,,6.0,,18.0,50.0,37.0,1.0,1.0,6.0,21.0,15491,77.99367374604608,12.96236524433542,0.5745271447937512,0.8585630366018979,1.2394293460719126,1.8849654638177005,0.264669808275773,1.5234652378800595,1.3039829578464917,0.34858950358272545,0.14201794590407332,,0.03873216706474727,,0.11619650119424182,0.32276805887289395,0.23884836356594152,0.00645536117745788,0.00645536117745788,0.03873216706474727,0.13556258472661548
2021 - 31,16033,2885,82,127,87.0,244.0,32.0,333,254,51.0,30.0,2.0,2.0,,55.0,65.0,80.0,5.0,10.0,12.0,7.0,20396,78.60855069621493,14.144930378505588,0.4020396156109041,0.6226711119827417,0.426554226318886,1.1963130025495194,0.15689350853108452,1.6326730731515984,1.2453422239654834,0.250049029221416,0.14708766424789174,0.009805844283192783,0.009805844283192783,,0.26966071778780154,0.3186899392037654,0.3922337713277113,0.024514610707981957,0.049029221415963914,0.058835065699156704,0.03432045499117474
2021 - 32,25324,4291,149,287,141.0,277.0,93.0,478,543,145.0,71.0,2.0,10.0,,77.0,46.0,71.0,19.0,7.0,8.0,8.0,32047,79.02143726401847,13.389708865104378,0.46494211626673326,0.8955596467688083,0.4399787811651637,0.8643554778918464,0.2901987705557463,1.4915592723187818,1.6943863700190347,0.4524604487159484,0.22154959902642996,0.006240833775392393,0.031204168876961962,,0.2402721003526071,0.143539176834025,0.22154959902642996,0.05928792086622773,0.021842918213873373,0.024963335101569572,0.024963335101569572
2021 - 33,41338,5466,208,290,253.0,294.0,68.0,419,703,171.0,126.0,4.0,3.0,5.0,83.0,40.0,80.0,23.0,3.0,8.0,24.0,49609,83.32762200407184,11.018162027051543,0.41927875990243707,0.5845713479408978,0.5099881069967143,0.5926344010159447,0.13707190227579671,0.8446048096111592,1.4170815779394867,0.3446955189582535,0.25398617186397626,0.008063053075046865,0.00604728980628515,0.010078816343808583,0.1673083513072225,0.08063053075046867,0.16126106150093733,0.04636255518151949,0.00604728980628515,0.01612610615009373,0.0483783184502812
2021 - 34,56581,6342,288,267,350.0,323.0,77.0,487,842,113.0,214.0,1.0,6.0,6.0,193.0,46.0,70.0,24.0,21.0,17.0,43.0,66311,85.32671804074738,9.56402406840494,0.43431708163049876,0.40264812776160824,0.5278158978148422,0.48709867141198293,0.11611949751926527,0.7344181206737947,1.2697742456002774,0.17040913272307762,0.3227217203782178,0.0015080454223281206,0.009048272533968723,0.009048272533968723,0.29105276650932727,0.06937008942709354,0.10556317956296843,0.03619309013587489,0.03166895386889053,0.02563677217957805,0.06484595316010919
2021 - 35,63358,7049,415,318,466.0,411.0,58.0,542,1082,192.0,175.0,11.0,9.0,5.0,369.0,44.0,21.0,49.0,18.0,29.0,45.0,74666,84.8552219216243,9.44070929204725,0.5558085340047679,0.4258966597916053,0.6241127152921009,0.5504513433155653,0.07767926499343744,0.7258993383869499,1.4491200814292984,0.2571451530817239,0.23437709265261295,0.014732274395307101,0.01205367905070581,0.006696488361503228,0.4942008410789382,0.058929097581228405,0.028125251118313554,0.06562558594273163,0.02410735810141162,0.03883963249671872,0.06026839525352905
2021 - 36,60802,6494,485,418,536.0,297.0,33.0,510,976,238.0,164.0,3.0,31.0,10.0,430.0,25.0,19.0,96.0,24.0,12.0,41.0,71644,84.86684160571716,9.064262185249289,0.6769582937859415,0.583440343922729,0.7481435989057004,0.4145497180503601,0.04606107978337334,0.711853051197588,1.3622913293506784,0.3321980905588744,0.22890960862040088,0.0041873708893975774,0.043269499190441624,0.013957902964658589,0.6001898274803193,0.03489475741164648,0.02652001563285132,0.13399586846072248,0.03349896711518062,0.01674948355759031,0.05722740215510022
2021 - 37,51940,5572,431,456,780.0,195.0,28.0,451,723,197.0,76.0,3.0,14.0,1.0,324.0,17.0,65.0,54.0,38.0,15.0,31.0,61411,84.5776815228542,9.073293058246893,0.7018286626174464,0.7425379817947925,1.2701307583331978,0.31753268958329944,0.04559443747862761,0.7343961179593232,1.1773135106088486,0.3207894351174871,0.12375633029913208,0.004885118301281529,0.022797218739313806,0.0016283727670938432,0.5275927765384052,0.027682337040595334,0.1058442298610998,0.08793212942306752,0.06187816514956604,0.024425591506407645,0.05047955577990913
2021 - 38,44457,5006,381,428,1102.0,163.0,28.0,450,666,165.0,133.0,15.0,20.0,2.0,321.0,28.0,84.0,31.0,38.0,23.0,29.0,53570,82.98861302968079,9.344782527534068,0.7112189658390891,0.7989546387903678,2.0571215232406197,0.30427478066081765,0.052268060481612845,0.8400224005973492,1.243233152884077,0.3080082135523614,0.24827328728766102,0.028000746686578308,0.037334328915437746,0.0037334328915437746,0.5992159790927758,0.052268060481612845,0.15680418144483854,0.0578682098189285,0.07093522493933171,0.04293447825275341,0.05413477692738473
2021 - 39,46180,5098,529,582,1576.0,197.0,69.0,521,709,139.0,132.0,3.0,28.0,9.0,399.0,17.0,62.0,81.0,40.0,17.0,37.0,56425,81.84315463003988,9.035002215330085,0.9375276916260522,1.0314576871953922,2.7930881701373504,0.3491360212671688,0.12228622064687639,0.9233495790872841,1.2565352237483385,0.24634470536109881,0.23393885688967656,0.005316792202038104,0.04962339388568897,0.01595037660611431,0.7071333628710678,0.030128489144882586,0.10988037217545416,0.1435533894550288,0.07089056269384139,0.030128489144882586,0.06557377049180328
2021 - 40,48124,4715,698,501,1766.0,217.0,46.0,362,573,226.0,96.0,7.0,27.0,1.0,218.0,53.0,29.0,99.0,53.0,34.0,39.0,57884,83.13869117545435,8.145601547923432,1.2058599958537763,0.8655241517517793,3.0509294450970907,0.3748877064473775,0.07946928339437496,0.6253887084513856,0.9899108561951488,0.39043604450279873,0.165848939257826,0.012093151820883146,0.04664501416626356,0.0017275931172690208,0.37661529956464657,0.0915624352152581,0.0501002004008016,0.17103171860963307,0.0915624352152581,0.05873816598714671,0.0673761315734918
2021 - 41,55066,4738,714,666,1504.0,317.0,47.0,490,587,172.0,47.0,13.0,45.0,13.0,291.0,56.0,15.0,129.0,112.0,64.0,66.0,65152,84.51927799607073,7.272224950884086,1.0958988212180747,1.0222249508840864,2.3084479371316307,0.4865545186640472,0.07213899803536346,0.7520874263261297,0.9009700392927308,0.26399803536345773,0.07213899803536346,0.019953339882121807,0.06906925343811395,0.019953339882121807,0.44664783889980353,0.08595284872298625,0.023023084479371316,0.19799852652259334,0.1719056974459725,0.09823182711198428,0.10130157170923379
2021 - 42,84865,5640,1074,791,1282.0,390.0,44.0,648,1039,221.0,88.0,47.0,50.0,22.0,333.0,81.0,32.0,341.0,56.0,105.0,61.0,97210,87.30068922950313,5.801872235366732,1.1048246065219627,0.8137022940026747,1.3187943627198848,0.4011932928711038,0.04526283304186812,0.6665980866166032,1.0688200802386587,0.22734286596029213,0.09052566608373624,0.04834893529472276,0.05143503754757741,0.02263141652093406,0.34255735006686555,0.0833247608270754,0.03291842403044954,0.35078695607447796,0.0576072420532867,0.10801357884991257,0.06275074580804443
2021 - 43,124446,4665,988,502,999.0,439.0,71.0,437,932,185.0,64.0,16.0,30.0,41.0,388.0,44.0,77.0,297.0,62.0,114.0,60.0,134857,92.27997063556211,3.4592197661226334,0.7326278947329393,0.3722461570404206,0.7407846830346219,0.3255300058580571,0.05264836085631447,0.3240469534395693,0.6911024270152829,0.13718234871011517,0.04745767739160741,0.011864419347901852,0.022245786277315972,0.030402574578998493,0.2877121691866199,0.03262715320673009,0.05709751811177766,0.22023328414542812,0.045974624973119674,0.0845339878538007,0.044491572554631945
