calendar week,Not documented in an outbreak,Private household,Retirement/nursing home,Work place,Educational institution,Leisure,Overnight stay,Other,Unknown,Residences,Refugee accomodation,Health care centre,Medical practice,Medical rehabilitation,"Kindergarten, after-school child care",Dining venue,Public transport,Hospital,Care facility,Day-care centre for the elderly,Residential home,sum of cases,Not documented in an outbreak (%),Private household (%),Retirement/nursing home (%),Work place (%),Educational institution (%),Leisure (%),Overnight stay (%),Other (%),Unknown (%),Residences (%),Refugee accomodation (%),Health care centre (%),Medical practice (%),Medical rehabilitation (%),"Kindergarten, after-school child care (%)",Dining venue (%),Public transport (%),Hospital (%),Care facility (%),Day-care centre for the elderly (%),Residential home (%)
2020 - 19,4042,364,506,397,,,12.0,14,189,23.0,264.0,9.0,18.0,23.0,6.0,,2.0,279.0,22.0,65.0,,6235,64.82758620689654,5.838011226944667,8.115477145148356,6.367281475541299,,,0.19246190858059342,0.22453889334402566,3.0312750601443463,0.3688853247794707,4.234161988773055,0.14434643143544507,0.28869286287089013,0.3688853247794707,0.09623095429029671,,0.03207698476343224,4.474739374498797,0.3528468323977546,1.0425020048115476,
2020 - 20,2961,301,412,401,6.0,,7.0,18,84,25.0,309.0,8.0,26.0,9.0,8.0,,2.0,149.0,13.0,16.0,4.0,4759,62.21895356167262,6.324858163479723,8.657280941374239,8.426139945366673,0.12607690691321705,,0.14708972473208656,0.3782307207396512,1.7650766967850389,0.5253204454717377,6.492960706030678,0.16810254255095608,0.5463332632906073,0.1891153603698256,0.16810254255095608,,0.04202563563773902,3.130909855011557,0.27316663164530364,0.33620508510191216,0.08405127127547804
2020 - 21,1952,343,255,317,4.0,13.0,9.0,50,118,17.0,332.0,9.0,17.0,4.0,,15.0,,78.0,55.0,2.0,7.0,3597,54.26744509313317,9.535724214623297,7.089241034195163,8.812899638587712,0.11120378092855157,0.3614122880177926,0.25020850708924103,1.3900472616068946,3.2805115373922713,0.4726160689463442,9.22991381706978,0.25020850708924103,0.4726160689463442,0.11120378092855157,,0.4170141784820684,,2.168473728106756,1.529051987767584,0.055601890464275786,0.19460661662496526
2020 - 22,1853,304,171,246,5.0,73.0,,71,117,15.0,210.0,7.0,20.0,4.0,1.0,26.0,,52.0,13.0,16.0,,3204,57.83395755305868,9.488139825218477,5.337078651685393,7.677902621722846,0.1560549313358302,2.278401997503121,,2.215980024968789,3.651685393258427,0.46816479400749067,6.5543071161048685,0.2184769038701623,0.6242197253433208,0.12484394506866417,0.031210986267166042,0.8114856429463172,,1.6229712858926344,0.4057428214731586,0.4993757802746567,
2020 - 23,1379,329,80,152,7.0,129.0,3.0,43,67,6.0,78.0,3.0,5.0,5.0,14.0,1.0,,45.0,4.0,1.0,,2351,58.65589111016589,13.994045087196938,3.4028073160357297,6.465333900467886,0.2977456401531263,5.487026797107614,0.12760527435133986,1.8290089323692045,2.849851127179923,0.25521054870267973,3.317737133134836,0.12760527435133986,0.2126754572522331,0.2126754572522331,0.5954912803062526,0.04253509145044662,,1.9140791152700978,0.1701403658017865,0.04253509145044662,
2020 - 24,1256,380,58,338,16.0,24.0,,53,50,2.0,71.0,10.0,2.0,1.0,11.0,1.0,,29.0,9.0,30.0,,2341,53.65228534814182,16.232379325074756,2.4775736864587783,14.43827424177702,0.6834686031610423,1.0252029047415634,,2.2639897479709523,2.135839384878257,0.08543357539513029,3.032891926527125,0.42716787697565145,0.08543357539513029,0.042716787697565144,0.46988466467321655,0.042716787697565144,,1.2387868432293891,0.3844510892780863,1.2815036309269543,
2020 - 25,1572,676,55,1401,41.0,7.0,,51,78,116.0,129.0,,,1.0,14.0,9.0,,19.0,9.0,12.0,,4190,37.517899761336515,16.13365155131265,1.3126491646778042,33.436754176610975,0.9785202863961814,0.16706443914081145,,1.2171837708830548,1.8615751789976134,2.768496420047733,3.0787589498806684,,,0.02386634844868735,0.3341288782816229,0.21479713603818618,,0.4534606205250597,0.21479713603818618,0.2863961813842482,
2020 - 26,1771,415,18,627,8.0,46.0,,38,62,24.0,86.0,5.0,3.0,,13.0,7.0,2.0,20.0,5.0,5.0,,3155,56.13312202852615,13.153724247226625,0.5705229793977813,19.873217115689382,0.25356576862123614,1.4580031695721078,,1.2044374009508716,1.9651347068145801,0.7606973058637084,2.7258320126782887,0.15847860538827258,0.09508716323296355,,0.4120443740095087,0.22187004754358164,0.06339144215530904,0.6339144215530903,0.15847860538827258,0.15847860538827258,
2020 - 27,1602,370,38,276,14.0,34.0,7.0,39,108,14.0,108.0,2.0,3.0,,13.0,7.0,2.0,33.0,8.0,2.0,6.0,2686,59.64259121370067,13.77513030528667,1.4147431124348473,10.275502606105734,0.5212211466865228,1.2658227848101267,0.2606105733432614,1.4519731943410277,4.0208488458674605,0.5212211466865228,4.0208488458674605,0.07446016381236038,0.11169024571854058,,0.4839910647803425,0.2606105733432614,0.07446016381236038,1.2285927029039463,0.29784065524944153,0.07446016381236038,0.22338049143708116
2020 - 28,1469,332,34,199,10.0,12.0,6.0,67,106,15.0,112.0,3.0,15.0,7.0,7.0,5.0,6.0,15.0,,,2.0,2422,60.6523534269199,13.70767960363336,1.4037985136251032,8.216350123864574,0.41288191577208916,0.495458298926507,0.2477291494632535,2.7663088356729975,4.376548307184145,0.6193228736581338,4.624277456647398,0.12386457473162675,0.6193228736581338,0.2890173410404624,0.2890173410404624,0.20644095788604458,0.2477291494632535,0.6193228736581338,,,0.08257638315441783
2020 - 29,1840,500,36,152,10.0,32.0,6.0,106,108,27.0,94.0,12.0,17.0,26.0,22.0,14.0,1.0,20.0,,1.0,1.0,3025,60.82644628099173,16.528925619834713,1.1900826446280992,5.024793388429752,0.3305785123966942,1.0578512396694215,0.19834710743801653,3.5041322314049586,3.5702479338842976,0.8925619834710744,3.1074380165289255,0.39669421487603307,0.5619834710743801,0.859504132231405,0.7272727272727273,0.4628099173553719,0.03305785123966942,0.6611570247933884,,0.03305785123966942,0.03305785123966942
2020 - 30,2275,667,43,336,13.0,44.0,5.0,120,199,38.0,69.0,9.0,15.0,3.0,16.0,37.0,8.0,20.0,,1.0,6.0,3924,57.976554536187564,16.997961264016308,1.0958205912334353,8.56269113149847,0.3312945973496432,1.1213047910295617,0.127420998980632,3.058103975535168,5.071355759429154,0.9683995922528033,1.7584097859327217,0.22935779816513763,0.382262996941896,0.0764525993883792,0.40774719673802245,0.9429153924566768,0.20387359836901123,0.509683995922528,,0.025484199796126403,0.1529051987767584
2020 - 31,2952,829,34,254,7.0,132.0,20.0,156,224,45.0,43.0,1.0,5.0,,20.0,27.0,10.0,48.0,,25.0,,4832,61.09271523178808,17.156456953642383,0.7036423841059603,5.256622516556291,0.14486754966887416,2.7317880794701987,0.4139072847682119,3.2284768211920527,4.635761589403973,0.9312913907284769,0.8899006622516556,0.020695364238410598,0.10347682119205298,,0.4139072847682119,0.5587748344370861,0.20695364238410596,0.9933774834437087,,0.517384105960265,
2020 - 32,4081,931,29,257,2.0,145.0,56.0,120,259,37.0,44.0,2.0,4.0,4.0,3.0,34.0,23.0,24.0,2.0,2.0,,6059,67.35434890245915,15.365571876547286,0.47862683611156953,4.2416240303680475,0.03300874731803928,2.3931341805578477,0.9242449249050998,1.9805248390823569,4.274632777686087,0.6106618253837267,0.7261924409968642,0.03300874731803928,0.06601749463607856,0.06601749463607856,0.04951312097705893,0.5611487044066678,0.37960059415745173,0.3961049678164714,0.03300874731803928,0.03300874731803928,
2020 - 33,5653,1304,36,188,8.0,167.0,79.0,196,186,39.0,41.0,,2.0,,1.0,17.0,14.0,15.0,4.0,,3.0,7953,71.08009556142336,16.39632842952345,0.4526593738211996,2.3638878410662643,0.10059097196026656,2.0998365396705645,0.9933358481076323,2.464478813026531,2.338740098076198,0.49038098830629956,0.5155287312963661,,0.02514774299006664,,0.01257387149503332,0.21375581541556646,0.17603420093046648,0.18860807242549982,0.05029548598013328,,0.03772161448509996
2020 - 34,7080,1257,20,151,22.0,246.0,154.0,231,278,44.0,35.0,,4.0,,5.0,17.0,18.0,32.0,,,1.0,9595,73.78843147472642,13.100573215216258,0.20844189682126105,1.573736321000521,0.22928608650338717,2.563835330901511,1.60500260552371,2.407503908285565,2.897342365815529,0.45857217300677433,0.36477331943720687,,0.041688379364252216,,0.05211047420531526,0.1771756122980719,0.18759770713913496,0.33350703491401773,,,0.010422094841063054
2020 - 35,6556,1057,31,104,36.0,258.0,101.0,183,325,39.0,77.0,,12.0,3.0,8.0,9.0,16.0,10.0,1.0,,1.0,8827,74.27211963294438,11.9746233148295,0.3511951965560213,1.1782032400589102,0.4078395830973151,2.9228503455307577,1.1442166081341338,2.0731845474113513,3.6818851251840945,0.4418262150220913,0.8723235527359239,,0.135946527699105,0.03398663192477625,0.09063101846607001,0.10195989577432878,0.18126203693214002,0.11328877308258753,0.011328877308258751,,0.011328877308258751
